num_features,num_subset_solvers,subset_size,subset_solver_depth,rounded,train_diff_pc,train_diff_ps,train_res_pc,train_res_cc,train_res_sc,train_epsilon,valid_diff_pc,valid_diff_ps,valid_res_pc,valid_res_cc,valid_res_sc,valid_epsilon,model_size_mb
64,1,2,1,False,0.0020428,0.0019695,0.014249699999999999,1.8e-05,0.0467019,0.004049099999999998,0.0020819000000000002,0.0019986,0.014767999999999998,1.8e-05,0.0474363,0.004104999999999999,0.01
64,1,2,2,False,0.0020330999999999995,0.0020067999999999996,0.014427,1.81e-05,0.0467019,0.004049099999999999,0.0020721,0.0020454999999999996,0.015035799999999998,1.8200000000000002e-05,0.047442599999999994,0.004104999999999999,0.02
64,1,2,3,False,0.002154,0.0018826,0.014744100000000001,1.8e-05,0.0466982,0.004048999999999999,0.0021989,0.0018993999999999997,0.0152782,1.81e-05,0.0474491,0.004104999999999999,0.02
64,1,2,4,False,0.0020539999999999994,0.0019895,0.014242399999999999,1.8e-05,0.046703999999999996,0.004048999999999999,0.0020951999999999998,0.0020156,0.0148263,1.81e-05,0.0474526,0.004104999999999999,0.03
64,1,3,1,False,0.0020746000000000002,0.0019361999999999997,0.014088,1.8e-05,0.0467034,0.004048999999999999,0.0021201,0.0019584999999999997,0.0147318,1.8e-05,0.0474618,0.004104999999999999,0.02
64,1,3,2,False,0.0021926000000000003,0.0018364000000000002,0.014819100000000002,1.81e-05,0.0467006,0.004048999999999999,0.0022392999999999996,0.0018566000000000004,0.0155259,1.81e-05,0.0474441,0.004104999999999999,0.02
64,1,3,3,False,0.0021986999999999996,0.0018430999999999999,0.014723,1.8e-05,0.046708900000000005,0.004048999999999999,0.0022432,0.0018602,0.015308800000000001,1.8200000000000002e-05,0.0474452,0.004104999999999999,0.03
64,1,3,4,False,0.0020322,0.0020226999999999997,0.0143934,1.81e-05,0.046704199999999994,0.004048999999999999,0.0020751000000000003,0.0020479,0.0150221,1.81e-05,0.047444499999999994,0.004104999999999999,0.03
64,1,4,1,False,0.0019060999999999998,0.0020995000000000007,0.013489400000000002,1.8e-05,0.046705699999999996,0.004048999999999999,0.0019545,0.0021665,0.014053100000000002,1.8e-05,0.0474569,0.004104999999999999,0.02
64,1,4,2,False,0.0019257,0.0021233000000000003,0.013361500000000002,1.81e-05,0.0467001,0.004049099999999998,0.0019787,0.0021798,0.0139849,1.8200000000000002e-05,0.0474463,0.004104999999999999,0.03
64,1,4,3,False,0.0019872,0.0020626,0.0139701,1.8300000000000004e-05,0.0467008,0.004049099999999999,0.0020252000000000004,0.0021044,0.014499199999999999,1.81e-05,0.0474353,0.004104999999999999,0.03
64,1,4,4,False,0.0021876000000000005,0.0018597,0.0148638,1.81e-05,0.046700399999999996,0.004049099999999998,0.0022251,0.0018781,0.0153139,1.8e-05,0.047429299999999994,0.004104999999999999,0.03
64,1,5,1,False,0.0019101,0.0021059999999999994,0.013552599999999998,1.81e-05,0.046707,0.004048999999999999,0.001957,0.0021573,0.0141151,1.8200000000000002e-05,0.047466799999999996,0.004104999999999999,0.03
64,1,5,2,False,0.002241,0.0018022,0.0150336,1.81e-05,0.0467065,0.004049099999999998,0.0022828999999999996,0.0018200999999999998,0.015531800000000002,1.81e-05,0.047417900000000006,0.004104999999999999,0.03
64,1,5,3,False,0.0019952,0.0020641999999999995,0.013973,1.8200000000000002e-05,0.04670780000000001,0.004048999999999999,0.0020349,0.0021079999999999996,0.0145338,1.8200000000000002e-05,0.0474298,0.004104999999999999,0.03
64,1,5,4,False,0.0018522999999999999,0.0022041000000000005,0.0134201,1.8e-05,0.0466999,0.004048999999999999,0.0018972,0.0022547,0.013927400000000001,1.8300000000000004e-05,0.0474376,0.004104999999999999,0.04
64,1,6,1,False,0.0022012,0.0018273999999999999,0.014835499999999998,1.8e-05,0.04670010000000001,0.004048999999999999,0.0022443999999999997,0.0018505999999999998,0.015417,1.8e-05,0.047453,0.004104999999999999,0.03
64,1,6,2,False,0.0019432999999999998,0.0021107,0.0134908,1.81e-05,0.0467022,0.004049099999999999,0.0019878,0.0021703,0.0139746,1.8e-05,0.047449200000000004,0.004104999999999999,0.03
64,1,6,3,False,0.0018739,0.0021807,0.013347000000000001,1.8e-05,0.0467084,0.004048999999999999,0.0019121,0.0022348000000000003,0.013855799999999998,1.8e-05,0.047493999999999995,0.004104999999999999,0.04
64,1,6,4,False,0.0019079999999999995,0.0021508000000000005,0.0135086,1.81e-05,0.0467061,0.004048999999999999,0.0019465000000000003,0.0022061,0.0140459,1.8200000000000002e-05,0.0474327,0.004104999999999999,0.04
64,2,2,1,False,0.0017365000000000002,0.0022849999999999997,0.0126824,1.8300000000000004e-05,0.0466973,0.004048999999999999,0.0018022999999999997,0.0022707000000000005,0.013325099999999998,1.81e-05,0.0474413,0.004104999999999999,0.02
64,2,2,2,False,0.0016158000000000001,0.0024218,0.012429500000000001,1.81e-05,0.0466979,0.004048999999999999,0.00166,0.0023708,0.0130161,1.81e-05,0.047446300000000004,0.004104999999999999,0.03
64,2,2,3,False,0.0015492000000000001,0.0024958000000000003,0.011954900000000001,1.8200000000000002e-05,0.04669340000000001,0.004048999999999999,0.0016076,0.0024018,0.012612600000000002,1.81e-05,0.047460199999999994,0.004104999999999999,0.04
64,2,2,4,False,0.0018663000000000002,0.0021824,0.013134199999999999,1.8200000000000002e-05,0.0467102,0.004048999999999999,0.0019267,0.0021403,0.013806599999999999,1.81e-05,0.0474308,0.004104999999999999,0.05
64,2,3,1,False,0.0017474,0.0022798999999999996,0.0122723,1.8300000000000004e-05,0.046697199999999994,0.004049099999999998,0.0018435,0.0023057999999999998,0.012967900000000001,1.81e-05,0.0474247,0.004104999999999999,0.03
