loss,center_loss,frame_loss,lr,epoch
0.003521,0.000050,0.003471,0.000100,1
0.002615,0.000003,0.002611,0.000100,2
0.002581,0.000002,0.002579,0.000100,3
0.002574,0.000001,0.002573,0.000100,4
0.002570,0.000001,0.002569,0.000100,5
0.002566,0.000001,0.002566,0.000100,6
0.002565,0.000000,0.002564,0.000100,7
0.002559,0.000000,0.002559,0.000100,8
0.002559,0.000000,0.002558,0.000100,9
0.002556,0.000000,0.002555,0.000100,10
0.002554,0.000000,0.002553,0.000100,11
0.002553,0.000000,0.002552,0.000100,12
0.002551,0.000000,0.002550,0.000100,13
0.002548,0.000000,0.002548,0.000100,14
0.002548,0.000000,0.002548,0.000100,15
0.002547,0.000000,0.002547,0.000100,16
0.002544,0.000000,0.002544,0.000100,17
0.002544,0.000000,0.002543,0.000100,18
0.002542,0.000000,0.002542,0.000100,19
0.002541,0.000000,0.002540,0.000100,20
0.002540,0.000000,0.002540,0.000100,21
0.002539,0.000000,0.002539,0.000100,22
0.002539,0.000000,0.002538,0.000100,23
0.002536,0.000000,0.002536,0.000100,24
0.002536,0.000000,0.002536,0.000100,25
0.002536,0.000000,0.002535,0.000100,26
0.002533,0.000000,0.002533,0.000100,27
0.002534,0.000000,0.002534,0.000100,28
0.002532,0.000000,0.002532,0.000100,29
0.002531,0.000000,0.002530,0.000100,30
0.002527,0.000000,0.002527,0.000100,31
0.002515,0.000000,0.002515,0.000100,32
0.002447,0.000000,0.002447,0.000100,33
0.002375,0.000000,0.002375,0.000100,34
0.002337,0.000000,0.002337,0.000100,35
0.002316,0.000000,0.002316,0.000100,36
0.002304,0.000000,0.002304,0.000100,37
0.002294,0.000000,0.002294,0.000100,38
0.002289,0.000000,0.002289,0.000100,39
0.002281,0.000000,0.002280,0.000100,40
0.002276,0.000000,0.002276,0.000100,41
0.002268,0.000000,0.002268,0.000100,42
0.002264,0.000000,0.002264,0.000100,43
0.002256,0.000000,0.002256,0.000100,44
0.002245,0.000000,0.002245,0.000100,45
0.002233,0.000000,0.002233,0.000100,46
0.002218,0.000000,0.002218,0.000100,47
0.002208,0.000000,0.002208,0.000100,48
0.002198,0.000000,0.002198,0.000100,49
0.002187,0.000000,0.002187,0.000100,50
0.002178,0.000000,0.002178,0.000095,51
0.002174,0.000000,0.002174,0.000095,52
0.002168,0.000000,0.002168,0.000095,53
0.002158,0.000000,0.002158,0.000095,54
0.002137,0.000000,0.002137,0.000095,55
0.002106,0.000000,0.002106,0.000095,56
0.002067,0.000000,0.002067,0.000095,57
0.002030,0.000000,0.002030,0.000095,58
0.002003,0.000000,0.002003,0.000095,59
0.001981,0.000000,0.001981,0.000095,60
0.001955,0.000000,0.001955,0.000095,61
0.001930,0.000000,0.001930,0.000095,62
0.001910,0.000000,0.001910,0.000095,63
0.001890,0.000000,0.001890,0.000095,64
0.001878,0.000000,0.001878,0.000095,65
0.001860,0.000000,0.001860,0.000095,66
0.001851,0.000000,0.001851,0.000095,67
0.001843,0.000000,0.001843,0.000095,68
0.001836,0.000000,0.001836,0.000095,69
0.001822,0.000000,0.001822,0.000095,70
0.001814,0.000000,0.001814,0.000090,71
0.001813,0.000000,0.001813,0.000090,72
0.001806,0.000000,0.001806,0.000090,73
0.001795,0.000000,0.001795,0.000090,74
0.001794,0.000000,0.001794,0.000090,75
0.001788,0.000000,0.001788,0.000090,76
0.001783,0.000000,0.001783,0.000090,77
0.001776,0.000000,0.001776,0.000090,78
0.001772,0.000000,0.001772,0.000090,79
0.001764,0.000000,0.001764,0.000090,80
0.001759,0.000000,0.001759,0.000090,81
0.001756,0.000000,0.001756,0.000090,82
0.001747,0.000000,0.001747,0.000090,83
0.001739,0.000000,0.001739,0.000090,84
0.001734,0.000000,0.001734,0.000090,85
0.001731,0.000000,0.001731,0.000090,86
0.001722,0.000000,0.001722,0.000090,87
0.001716,0.000000,0.001716,0.000090,88
0.001716,0.000000,0.001716,0.000090,89
0.001708,0.000000,0.001708,0.000090,90
0.001703,0.000000,0.001703,0.000086,91
0.001699,0.000000,0.001699,0.000086,92
0.001693,0.000000,0.001693,0.000086,93
0.001692,0.000000,0.001692,0.000086,94
0.001688,0.000000,0.001688,0.000086,95
0.001684,0.000000,0.001684,0.000086,96
0.001681,0.000000,0.001681,0.000086,97
0.001678,0.000000,0.001678,0.000086,98
0.001671,0.000000,0.001671,0.000086,99
0.001668,0.000000,0.001668,0.000086,100
0.001664,0.000000,0.001664,0.000086,101
0.001662,0.000000,0.001662,0.000086,102
0.001655,0.000000,0.001655,0.000086,103
0.001652,0.000000,0.001652,0.000086,104
0.001649,0.000000,0.001649,0.000086,105
0.001645,0.000000,0.001645,0.000086,106
0.001639,0.000000,0.001639,0.000086,107
0.001636,0.000000,0.001636,0.000086,108
0.001630,0.000000,0.001630,0.000086,109
0.001626,0.000000,0.001626,0.000086,110
0.001617,0.000000,0.001617,0.000081,111
0.001611,0.000000,0.001611,0.000081,112
0.001608,0.000000,0.001608,0.000081,113
0.001603,0.000000,0.001603,0.000081,114
0.001595,0.000000,0.001595,0.000081,115
0.001591,0.000000,0.001591,0.000081,116
0.001584,0.000000,0.001584,0.000081,117
0.001576,0.000000,0.001576,0.000081,118
0.001571,0.000000,0.001571,0.000081,119
0.001567,0.000000,0.001567,0.000081,120
0.001560,0.000000,0.001560,0.000081,121
0.001555,0.000000,0.001555,0.000081,122
0.001547,0.000000,0.001547,0.000081,123
0.001540,0.000000,0.001540,0.000081,124
0.001541,0.000000,0.001541,0.000081,125
0.001534,0.000000,0.001534,0.000081,126
0.001528,0.000000,0.001528,0.000081,127
0.001527,0.000000,0.001527,0.000081,128
0.001521,0.000000,0.001521,0.000081,129
0.001513,0.000000,0.001513,0.000081,130
0.001510,0.000000,0.001510,0.000077,131
0.001505,0.000000,0.001505,0.000077,132
0.001504,0.000000,0.001504,0.000077,133
0.001500,0.000000,0.001500,0.000077,134
0.001494,0.000000,0.001494,0.000077,135
0.001493,0.000000,0.001493,0.000077,136
0.001489,0.000000,0.001489,0.000077,137
0.001485,0.000000,0.001485,0.000077,138
0.001484,0.000000,0.001484,0.000077,139
0.001483,0.000000,0.001483,0.000077,140
0.001479,0.000000,0.001479,0.000077,141
0.001479,0.000000,0.001479,0.000077,142
0.001472,0.000000,0.001472,0.000077,143
0.001474,0.000000,0.001474,0.000077,144
0.001472,0.000000,0.001472,0.000077,145
0.001467,0.000000,0.001467,0.000077,146
0.001466,0.000000,0.001466,0.000077,147
0.001464,0.000000,0.001464,0.000077,148
0.001464,0.000000,0.001464,0.000077,149
0.001461,0.000000,0.001461,0.000077,150
0.001457,0.000000,0.001457,0.000074,151
0.001450,0.000000,0.001450,0.000074,152
0.001452,0.000000,0.001452,0.000074,153
0.001450,0.000000,0.001450,0.000074,154
0.001448,0.000000,0.001448,0.000074,155
0.001445,0.000000,0.001445,0.000074,156
