max_diff,l1_error,l1_norm
0.023149516,0.0056824777,0.025564155
0.040390372,0.007334613,0.046194077
0.057054073,0.011221988,0.02607585
0.01519283,0.005031895,0.030571667
0.0507277,0.009941214,0.015758518
0.03379831,0.00913446,0.031557627
0.03270027,0.0072086905,0.027356008
0.029358514,0.008083771,0.031051286
0.034654446,0.009604764,0.040136214
0.024829958,0.008366507,0.04555096
0.0264059,0.0066994186,0.017032543
0.022690274,0.006417439,0.034023087
0.036507577,0.006295674,0.021789333
0.033314362,0.008494012,0.039265685
0.05371713,0.009193898,0.025049746
0.034106568,0.007830126,0.036619145
0.032533415,0.006205473,0.037046164
0.03148955,0.008538381,0.02225594
0.06121058,0.0087905815,0.018766392
0.06436801,0.0068845833,0.040541798
0.037486322,0.008821675,0.029864298
0.05031804,0.0077314903,0.03200405
0.028010815,0.008055286,0.036174677
0.022779688,0.0071914145,0.014550935
0.03708282,0.0063976906,0.025810001
0.055059932,0.010179888,0.026677774
0.036447212,0.008226787,0.018867424
0.019339014,0.005944438,0.039542172
0.053220157,0.010668075,0.015760127
0.02428069,0.0057006604,0.046452332
0.032570794,0.008242007,0.031853043
0.035549976,0.0059994045,0.017184429
0.025581047,0.006599778,0.03084146
0.025127888,0.005871511,0.026742421
0.046183795,0.007857013,0.032841094
0.023217788,0.0067241616,0.026307205
0.038164586,0.006396734,0.018376986
0.020240163,0.0075224694,0.019220231
0.050058734,0.008165603,0.030652078
0.05461497,0.008396946,0.022683011
0.061513066,0.007272768,0.019226752
0.01992033,0.0066410988,0.051794738
0.054853994,0.010826144,0.024927128
0.029708652,0.0072230645,0.01808479
0.024797946,0.0074530863,0.032109458
0.026252866,0.0057062367,0.031594664
0.0485368,0.011998745,0.032343194
0.033879295,0.009926434,0.0322918
0.069032185,0.013728959,0.016578866
0.040692993,0.0073991637,0.038805623
0.047373068,0.007957115,0.018891798
0.033437785,0.009229773,0.025540635
0.05263475,0.008821442,0.023120897
0.03555589,0.0057073142,0.016642231
0.05819057,0.009798312,0.02750344
0.08327952,0.008886566,0.042870406
0.04803157,0.00950741,0.034979504
0.034998365,0.006899244,0.039905325
0.04859078,0.011167735,0.024875388
0.037925757,0.0055820444,0.019571403
0.036855914,0.009884484,0.035981137
0.031217072,0.006221592,0.017788108
0.038451046,0.010102121,0.03077943
0.023142627,0.006618274,0.014360733
0.032726675,0.0076537128,0.019043015
0.028035078,0.007360693,0.014980703
0.053110104,0.009720277,0.023456952
0.071629465,0.010363245,0.024842313
0.047190752,0.011179932,0.027733732
0.04362174,0.0077729304,0.015291383
0.020430207,0.005805659,0.013653654
0.054979,0.011987192,0.019351706
0.044339582,0.008618793,0.031672534
0.03100479,0.00674696,0.037203178
0.072554976,0.012112742,0.028968003
0.026553642,0.0071810596,0.03293156
0.07753497,0.012613239,0.04691754
0.029623955,0.00641562,0.035280865
0.032384086,0.008250983,0.016198147
0.11907838,0.012121358,0.04185416
0.027875619,0.0068938965,0.020238617
0.021550462,0.0057623987,0.01729048
0.025652733,0.0072528045,0.036528643
0.04077468,0.008319763,0.016418539
0.041184388,0.009359712,0.031145219
0.056440845,0.010468557,0.023699101
0.04930952,0.0070889285,0.024701094
0.05852295,0.009638167,0.042706523
0.050552048,0.011534344,0.041004486
0.049920153,0.00971194,0.033925574
0.021296537,0.005447065,0.031919215
0.056374386,0.010426707,0.031023249
0.025016896,0.005765271,0.019226022
0.021871455,0.0066529517,0.02718519
0.04766981,0.009790956,0.04338178
0.025480151,0.0072531314,0.016115567
0.0557461,0.011329686,0.028200235
0.09417437,0.009400403,0.031643152
0.023856925,0.007302464,0.023726864
0.046287403,0.009729267,0.019005908
0.03473647,0.0076223225,0.02824693
0.023837984,0.005596635,0.03711033
0.039682515,0.011080823,0.020616395
0.045403823,0.008584245,0.02179092
0.03743945,0.008443024,0.02661275
0.08729388,0.014341772,0.025207793
0.06877111,0.007161807,0.035143696
0.01582086,0.0050221765,0.024510944
0.043135025,0.0074685793,0.037584033
0.025674134,0.00801352,0.023389483
0.030752711,0.006973372,0.027245618
0.027224978,0.0066323765,0.019039867
0.059787128,0.010607262,0.04258478
0.018799473,0.0061192894,0.03683516
0.018932035,0.004987364,0.031169852
0.04240384,0.008747785,0.008516913
0.044127554,0.00790692,0.019798422
0.025250304,0.0065291226,0.036331452
0.021173675,0.005613816,0.039503828
0.03327401,0.006339198,0.030418184
0.025185741,0.0071451566,0.030313252
0.044072747,0.0077098673,0.019103589
0.02686916,0.006690831,0.02462736
0.034267306,0.0076552746,0.022780905
0.032407023,0.006507639,0.016004523
0.038955588,0.009166785,0.034186665
0.035541125,0.0059732,0.022030117
0.027169008,0.006897046,0.010673686
0.03727743,0.0063725007,0.025206897
0.018601375,0.0047065234,0.042984318
0.07645633,0.011305594,0.023198938
0.035544448,0.008217628,0.025746357
0.03209534,0.009417162,0.027280226
0.024664942,0.006389627,0.029339537
0.0471189,0.010145084,0.036956627
0.025792224,0.0077308444,0.014536128
0.016986195,0.0057624276,0.019982304
0.021769881,0.0056416127,0.022551395
0.06358001,0.009028526,0.027123813
