max_diff,l1_error,l1_norm
0.02722330577671528,0.007992430590093136,0.025334998965263367
0.026607433333992958,0.008518211543560028,0.040852028876543045
0.03236652910709381,0.005555103998631239,0.02491176314651966
0.024759022518992424,0.007021721452474594,0.03250541910529137
0.041763175278902054,0.009503445588052273,0.01694060117006302
0.04100324958562851,0.008701151236891747,0.030938073992729187
0.062240637838840485,0.009431188926100731,0.027829322963953018
0.046875979751348495,0.01136611308902502,0.03101862594485283
0.05172469839453697,0.01015871949493885,0.04148305952548981
0.09940677881240845,0.01662794128060341,0.04736511781811714
0.04545796662569046,0.01086350902915001,0.019034018740057945
0.09020231664180756,0.011406724341213703,0.037690214812755585
0.021945418789982796,0.0074589550495147705,0.017478903755545616
0.03845664858818054,0.006485814228653908,0.036026958376169205
0.04890570044517517,0.010754100047051907,0.022682365030050278
0.056957028806209564,0.009028278291225433,0.037729617208242416
0.062008947134017944,0.009330447763204575,0.037483688443899155
0.08020956814289093,0.009371216408908367,0.02316771261394024
0.04565976560115814,0.008336665108799934,0.020813707262277603
0.03611135482788086,0.007849696092307568,0.04246832802891731
0.025724254548549652,0.009916572831571102,0.030840618535876274
0.08206500858068466,0.013238275423645973,0.031106434762477875
0.03191192448139191,0.011897176504135132,0.0332607664167881
0.040642522275447845,0.00827199686318636,0.018164830282330513
0.04365400969982147,0.007094825152307749,0.023634247481822968
0.029993463307619095,0.008469034917652607,0.02984146773815155
0.03287503868341446,0.007492097094655037,0.020594121888279915
0.025508418679237366,0.006495564244687557,0.03970089927315712
0.05410178750753403,0.012439016252756119,0.020747622475028038
0.04540325701236725,0.01029270701110363,0.046126771718263626
0.03438149392604828,0.010517134331166744,0.028462613001465797
0.027109991759061813,0.007626074831932783,0.01677958108484745
0.06107865646481514,0.009701748378574848,0.035777702927589417
0.0666041150689125,0.009716369211673737,0.028648965060710907
0.048183623701334,0.00940549187362194,0.029568998143076897
0.03473925217986107,0.011231685057282448,0.026181746274232864
0.03269108012318611,0.009544992819428444,0.016867484897375107
0.031377606093883514,0.00841533113270998,0.019412104040384293
0.04354291781783104,0.008955947123467922,0.03245718777179718
0.022854695096611977,0.007206812966614962,0.02401386760175228
0.05547118932008743,0.00983646884560585,0.019482987001538277
0.03076736256480217,0.008466449566185474,0.05038033425807953
0.03931163251399994,0.009899831376969814,0.02565861865878105
0.0369427427649498,0.007628884632140398,0.016730453819036484
0.04085596278309822,0.009340888820588589,0.028204485774040222
0.040924929082393646,0.0079505555331707,0.028708117082715034
0.031045634299516678,0.009431125596165657,0.03026448003947735
0.029063470661640167,0.006299346685409546,0.030708763748407364
0.057807281613349915,0.010020713321864605,0.018301809206604958
0.02339465357363224,0.00628885580226779,0.04372253268957138
0.056319527328014374,0.010493753477931023,0.013373101130127907
0.06437984853982925,0.011806095018982887,0.02744135633111
0.05162263289093971,0.010538872331380844,0.023439262062311172
0.030666057020425797,0.00769982161000371,0.015017598867416382
0.05155088007450104,0.012109827250242233,0.02752043306827545
0.04665073752403259,0.010253977961838245,0.041425805538892746
0.05145180970430374,0.013675559312105179,0.037967387586832047
0.03746088594198227,0.012611573562026024,0.040904100984334946
0.0902332067489624,0.012861429713666439,0.027391977608203888
0.05320541933178902,0.009635119698941708,0.018952853977680206
0.032914649695158005,0.009038985706865788,0.040935322642326355
0.033173441886901855,0.007567689288407564,0.01680527627468109
0.06577081978321075,0.010106975212693214,0.029865112155675888
